,Gene,Organism
616,upp,acidovorans
679,ychF,acidovorans
746,ettA,acidovorans
755,dapA,acidovorans
803,secA,acidovorans
838,grpE,acidovorans
843,rplQ,acidovorans
854,hemL,acidovorans
861,asd,acidovorans
908,hisD,acidovorans
910,cysS,acidovorans
918,valS,acidovorans
968,rpmI,acidovorans
998,recA,acidovorans
1003,atpH,acidovorans
1005,def,acidovorans
1006,ileS,acidovorans
1023,purH,acidovorans
1026,adk,acidovorans
1049,lepA,acidovorans
1084,glmS,acidovorans
1093,argC,acidovorans
1108,serC,acidovorans
1141,gltX,acidovorans
1167,gcvH,acidovorans
1178,murF,acidovorans
1204,ispG,acidovorans
1224,ftsZ,acidovorans
1229,glmM,acidovorans
1249,mreB,acidovorans
1251,ffh,acidovorans
1252,glpK,acidovorans
1253,gyrB,acidovorans
1380,purA,acidovorans
1443,nuoD,acidovorans
1910,polA,acidovorans
1926,trpB,acidovorans
1943,murC,acidovorans
1951,carB,acidovorans
2002,rpmA,acidovorans
2337,metK,acidovorans
2377,guaA,acidovorans
2439,clpX,acidovorans
2515,pyrB,acidovorans
2620,ribH,acidovorans
2758,rimO,acidovorans
2786,rpsM,acidovorans
3070,murE,acidovorans
3165,tal,acidovorans
3797,pheS,acidovorans
3803,leuB,acidovorans
3822,ftsA,acidovorans
3827,thiC,aurantiaca
3830,rplC,aurantiaca
3832,rpsD,aurantiaca
3842,rpsR,aurantiaca
3843,rpsQ,aurantiaca
3853,sucC,aurantiaca
3861,prfA,aurantiaca
3862,pnp,aurantiaca
3864,rpsK,aurantiaca
3865,groL,aurantiaca
3866,dnaK,aurantiaca
3868,rpsB,aurantiaca
3871,tatA,aurantiaca
3878,sucD,aurantiaca
3879,rpmD,aurantiaca
3884,rplB,aurantiaca
3885,gap,aurantiaca
3887,rplY,aurantiaca
3901,tig,aurantiaca
3910,rplL,aurantiaca
3911,tuf,aurantiaca
3912,rpoA,aurantiaca
3919,rpsC,aurantiaca
3923,tsf,aurantiaca
3929,groS,aurantiaca
3943,lysS,aurantiaca
3945,rpoB,aurantiaca
3953,rpsJ,aurantiaca
3955,fusA,aurantiaca
3956,rplA,aurantiaca
3958,rplM,aurantiaca
3960,acpP,aurantiaca
3967,eno,aurantiaca
3968,rpsH,aurantiaca
3978,rplO,aurantiaca
3986,ahcY,aurantiaca
3997,tpiA,aurantiaca
4002,argG,aurantiaca
4015,rplE,aurantiaca
4017,thrS,aurantiaca
4025,rplK,aurantiaca
4031,rplR,aurantiaca
4051,frr,aurantiaca
4054,ndk,aurantiaca
4059,grpE,aurantiaca
4061,rplJ,aurantiaca
4085,rplW,aurantiaca
4104,aspS,aurantiaca
4106,glnA,aurantiaca
4107,efp,aurantiaca
4111,rpoC,aurantiaca
4144,murE,aurantiaca
4146,rplT,aurantiaca
4163,rpsG,aurantiaca
4172,htpG,aurantiaca
4176,rpsL,aurantiaca
4185,topA,aurantiaca
4197,mdh,aurantiaca
4209,rpmA,aurantiaca
4223,serS,aurantiaca
4226,infC,aurantiaca
4248,rplP,aurantiaca
4257,gcvH,aurantiaca
4260,fumC,aurantiaca
4262,nusA,aurantiaca
4263,atpD,aurantiaca
4277,rplD,aurantiaca
4298,gcvT,aurantiaca
4397,adk,aurantiaca
4412,rplQ,aurantiaca
4417,leuS,aurantiaca
4438,clpP,aurantiaca
4461,gyrB,aurantiaca
4466,glyA,aurantiaca
4471,glyS,aurantiaca
4482,pgk,aurantiaca
4484,argC,aurantiaca
4486,aroC,aurantiaca
4488,rho,aurantiaca
4500,secA,aurantiaca
4510,tal,aurantiaca
4513,purL,aurantiaca
4550,clpX,aurantiaca
4554,atpF,aurantiaca
4607,atpH,aurantiaca
4615,gltX,aurantiaca
4620,metG,aurantiaca
4637,valS,aurantiaca
4651,rplV,aurantiaca
4726,asd,aurantiaca
4750,infB,aurantiaca
4767,nusG,aurantiaca
4815,carB,aurantiaca
4863,rplN,aurantiaca
4877,atpA,aurantiaca
4896,pdhA,aurantiaca
4899,nuoD,aurantiaca
4914,cysK,aurantiaca
4946,rpsS,aurantiaca
5162,tyrS,aurantiaca
5245,hemE,aurantiaca
5262,pfkA,aurantiaca
5316,prs,aurantiaca
5396,rpsE,aurantiaca
5397,rplI,aurantiaca
5419,rsfS,aurantiaca
5429,typA,aurantiaca
5487,rpsP,aurantiaca
5489,rpsO,aurantiaca
5493,rplF,aurantiaca
5505,rpsI,aurantiaca
5507,argH,aurantiaca
5749,ychF,aurantiaca
5826,pheT,aurantiaca
5859,rimO,aurantiaca
6025,hemL,aurantiaca
6027,argB,aurantiaca
6235,trpS,aurantiaca
6243,pdhA,baltica
6244,rpsE,baltica
6249,prfB,baltica
6251,atpF,baltica
6259,dnaK,baltica
6263,fusA,baltica
6265,rplB,baltica
6267,rplQ,baltica
6270,sucD,baltica
6273,rpsB,baltica
6274,rpsK,baltica
6276,rpsH,baltica
6278,infB,baltica
6280,rplX,baltica
6281,rpsM,baltica
6286,rpsP,baltica
6287,clpP,baltica
6291,tsf,baltica
6292,rplU,baltica
6295,tuf,baltica
6300,dxs,baltica
6317,rplL,baltica
6322,argH,baltica
6327,rpsT,baltica
6338,rpsQ,baltica
6339,rplC,baltica
6341,rplI,baltica
6342,rpsD,baltica
6355,rplD,baltica
6378,purA,baltica
6381,rplM,baltica
6385,rplO,baltica
6399,rplK,baltica
6401,rplF,baltica
6403,infA,baltica
6404,rplA,baltica
6408,eno,baltica
6414,fumC,baltica
6415,mdh,baltica
6418,rpsI,baltica
6422,ddl,baltica
6433,atpG,baltica
6438,ffh,baltica
6441,ndk,baltica
6456,sucC,baltica
6468,rplY,baltica
6471,groS,baltica
6476,rpmF,baltica
6482,fabH,baltica
6483,atpA,baltica
6485,rpmD,baltica
6487,pckA,baltica
6489,recA,baltica
6514,nusA,baltica
6516,rpoA,baltica
6517,rpsJ,baltica
6532,rpsC,baltica
6553,rpoB,baltica
6579,rpsS,baltica
6599,rplE,baltica
6609,secA,baltica
6634,pnp,baltica
6636,lepA,baltica
6642,rplJ,baltica
6652,clpB,baltica
6712,gyrA,baltica
6715,atpD,baltica
6731,ackA,baltica
6749,tpiA,baltica
6756,ahcY,baltica
6760,serC,baltica
6765,glyA,baltica
6769,rpsG,baltica
6786,rplV,baltica
6820,aspS,baltica
6839,rpsR,baltica
6860,purL,baltica
6861,atpH,baltica
6871,rpsF,baltica
6876,tal,baltica
6883,gcvP,baltica
6896,grpE,baltica
6901,proS,baltica
6902,ychF,baltica
6910,pgk,baltica
6918,sufC,baltica
6936,pgi,baltica
6943,metG,baltica
6949,ileS,baltica
6960,alaS,baltica
6966,frr,baltica
7019,pheS,baltica
7113,rplW,baltica
7155,rpsL,baltica
7264,rplN,baltica
7274,ftsZ,baltica
7280,rplS,baltica
7283,rpoC,baltica
7335,gyrB,baltica
7339,pfkA,baltica
7457,rpmC,baltica
7570,rny,baltica
7573,rplR,baltica
7594,prfA,baltica
7660,ftsH,baltica
7824,purH,baltica
7838,topA,baltica
7881,thrS,baltica
7896,aroC,baltica
7922,purD,baltica
7932,rho,baltica
7935,acpP,baltica
8013,hisD,baltica
8014,pyrE,baltica
8083,zwf,baltica
8141,mutS,baltica
8231,guaB,baltica
8297,pyrG,baltica
8552,nusG,baltica
8574,menB,baltica
8839,rplP,baltica
8851,guaA,baltica
8900,ftsA,baltica
9239,aroA,baltica
9296,tyrS,baltica
9435,glmS,baltica
9535,rpsN,baltica
9931,gpmI,baltica
10194,asd,baltica
10292,argS,baltica
10506,kbl,baltica
11089,hisS,baltica
11126,lysS,baltica
11299,folD,baltica
11745,ettA,baltica
12108,rpsO,baltica
12463,mreB,baltica
12526,tig,cereus
12527,glmS,cereus
12529,rplC,cereus
12535,ndk,cereus
12539,guaB,cereus
12541,tsf,cereus
12564,glpK,cereus
12567,rpsL,cereus
12569,rpsB,cereus
12570,prfB,cereus
12574,pgi,cereus
12597,rpsE,cereus
12602,rplO,cereus
12604,hutU,cereus
12613,tuf,cereus
12626,rplQ,cereus
12640,rpsG,cereus
12644,rpsH,cereus
12651,fusA,cereus
12664,rplB,cereus
12665,sucD,cereus
12670,rpsS,cereus
12676,frr,cereus
12678,rpsD,cereus
12680,rplF,cereus
12682,rplX,cereus
12687,alaS,cereus
12709,dnaK,cereus
12713,rplL,cereus
12718,gcvT,cereus
12721,pckA,cereus
12735,sucC,cereus
12736,pyrG,cereus
12743,metK,cereus
12768,rplJ,cereus
12775,rplU,cereus
12779,tpiA,cereus
12801,rpsK,cereus
12808,serS,cereus
12809,pdhA,cereus
12810,rpsQ,cereus
12818,rplW,cereus
12819,rplS,cereus
12824,rpsP,cereus
12826,rpsC,cereus
12838,pdxS,cereus
12851,purA,cereus
12884,eno,cereus
12893,rpoC,cereus
12904,rplA,cereus
12918,rplT,cereus
12926,rplM,cereus
12976,asd,cereus
12996,rpsT,cereus
13012,prfA,cereus
13019,rpsJ,cereus
13076,rplE,cereus
13077,rpmC,cereus
13117,rpmD,cereus
13143,carA,cereus
13164,ribH,cereus
13218,rpoA,cereus
13227,acpP,cereus
13240,cysS,cereus
13247,menB,cereus
13283,thrS,cereus
13297,fhs,cereus
13300,infB,cereus
13320,rplV,cereus
13389,rpsF,cereus
13415,groL,cereus
13439,argG,cereus
13443,ackA,cereus
13451,greA,cereus
13471,rplP,cereus
13502,rpoB,cereus
13613,atpA,cereus
13713,ftsZ,cereus
13744,recA,cereus
13924,pnp,cereus
13958,rpsI,cereus
14005,gcvH,cereus
14058,glyA,cereus
14140,atpD,cereus
14246,mdh,cereus
14354,rplN,cereus
14426,folE,cereus
14458,murC,cereus
14506,grpE,cereus
14508,rsmH,cereus
14682,gpmI,cereus
14774,rpsR,cereus
14798,infA,cereus
14823,rplR,cereus
14866,rpsO,cereus
14964,rplD,cereus
15046,mutS,cereus
15059,glmM,cereus
15074,pepT,cereus
15095,dxs,cereus
15131,adk,cereus
15155,pfkA,cereus
15223,argH,cereus
15298,ftsH,cereus
15308,pyrE,cereus
15403,atpG,cereus
15770,clpX,cereus
15938,dapA,cereus
15975,nusA,cereus
15979,hemE,cereus
16048,prs,cereus
16075,clpB,cereus
16709,ychF,cereus
17009,serC,cereus
17379,secA,cereus
17932,mreB,cereus
18681,pheT,cereus
19065,hisD,cereus
19538,groS,cereus
19665,rpmA,cereus
20570,rpsM,cereus
21125,carB,cereus
22447,gatB,cereus
22698,pyrH,cereus
23010,rplB,comes
23012,rplC,comes
23013,rpsR,comes
23016,pgk,comes
23017,gap,comes
23022,rpoB,comes
23025,rpsS,comes
23027,gyrB,comes
23028,purC,comes
23031,rpmC,comes
23038,tpiA,comes
23040,rpsE,comes
23048,prfA,comes
23049,rsmH,comes
23051,tsf,comes
23055,tuf,comes
23060,rpsI,comes
23064,rpsK,comes
23069,serS,comes
23072,fusA,comes
23076,groL,comes
23099,leuB,comes
23115,pckA,comes
23117,prs,comes
23118,rplP,comes
23121,alaS,comes
23124,rpsJ,comes
23128,purA,comes
23129,rpsM,comes
23130,thrS,comes
23131,pnp,comes
23132,rplF,comes
23135,glmM,comes
23142,rplL,comes
23145,pheT,comes
23167,tal,comes
23173,rplN,comes
23176,rpsP,comes
23186,rpsB,comes
23213,def,comes
23214,pepT,comes
23231,guaB,comes
23236,rplJ,comes
23240,atpA,comes
23249,rpsF,comes
23255,rplS,comes
23260,rplM,comes
23280,rplD,comes
23289,pyrE,comes
23290,rplO,comes
23293,ileS,comes
23299,rpsG,comes
23305,nusA,comes
23306,rplQ,comes
23310,rplX,comes
23333,rpsC,comes
23337,ilvC,comes
23378,thiC,comes
23387,aspS,comes
23397,trpS,comes
23400,glnA,comes
23412,dnaK,comes
23426,murE,comes
23429,rplE,comes
23441,tig,comes
23449,pfkA,comes
23453,rpsH,comes
23460,ilvD,comes
23478,rpoA,comes
23479,rpoC,comes
23493,guaA,comes
23496,rplV,comes
23501,glyS,comes
23533,secA,comes
23537,atpD,comes
23558,rny,comes
23570,proS,comes
23579,rpsL,comes
23581,frr,comes
23585,rplK,comes
23651,kbl,comes
23664,ychF,comes
23686,pgi,comes
23703,carB,comes
23712,ftsH,comes
23726,infB,comes
23756,ribH,comes
23773,rplU,comes
23786,carA,comes
23803,rplR,comes
23820,pyrH,comes
23822,pyrF,comes
23824,argS,comes
23834,typA,comes
23836,efp,comes
23911,metK,comes
23952,ALB,comes
23970,gpmI,comes
24023,argC,comes
24037,metG,comes
24038,rplA,comes
24097,murC,comes
24106,rpmA,comes
24133,dxs,comes
24164,purD,comes
24194,valS,comes
24195,adk,comes
24228,gyrA,comes
24245,dxr,comes
24265,argH,comes
24304,upp,comes
24356,dnaX,comes
24378,prfB,comes
24413,argG,comes
24456,glpK,comes
24550,rpsO,comes
24559,tyrS,comes
24567,rplW,comes
24732,purM,comes
24738,argB,comes
24767,pheS,comes
24896,clpP,comes
24976,ddl,comes
25015,folD,comes
25110,lysS,comes
25190,pyrG,comes
25409,leuS,comes
25452,dapA,comes
25465,rplT,comes
25476,mreB,comes
25583,rpoZ,comes
25743,gltX,comes
25809,der,comes
26128,nadE,comes
26284,infC,comes
26540,ispG,comes
26622,lepA,comes
26658,fabH,comes
26698,rplI,comes
26738,leuC,comes
26883,ackA,comes
27068,pyrB,comes
27088,glyA,comes
27546,glmS,comes
28069,prfA,cryptum
28073,rplB,cryptum
28074,prfB,cryptum
28080,rpmD,cryptum
28081,greA,cryptum
28082,atpH,cryptum
28083,rplX,cryptum
28087,efp,cryptum
28099,groL,cryptum
28108,eno,cryptum
28122,metK,cryptum
28123,groS,cryptum
28134,rplL,cryptum
28142,ndk,cryptum
28143,rplK,cryptum
28171,rpsT,cryptum
28177,mdh,cryptum
28199,tig,cryptum
28204,pdxS,cryptum
28212,fusA,cryptum
28214,grpE,cryptum
28219,pnp,cryptum
28245,tsf,cryptum
28257,acpP,cryptum
28260,tuf,cryptum
28308,rplJ,cryptum
28309,sucC,cryptum
28327,atpD,cryptum
28364,frr,cryptum
28368,rpsS,cryptum
28433,zwf,cryptum
28434,ribH,cryptum
28471,ppa,cryptum
28509,tatA,cryptum
28532,rpsQ,cryptum
28537,rpoC,cryptum
28541,rplV,cryptum
28545,rplO,cryptum
28616,rplC,cryptum
28649,dnaK,cryptum
28778,dapA,cryptum
28787,rpsI,cryptum
28801,rplY,cryptum
28802,atpA,cryptum
28962,pdhA,cryptum
29085,trpS,cryptum
29118,nusA,cryptum
29317,rpmG,cryptum
29340,thiC,cryptum
29401,asd,cryptum
29456,rpoZ,cryptum
29494,rpsE,cryptum
29596,ilvC,cryptum
29616,rpsG,cryptum
29707,rho,fragilis
29710,gap,fragilis
29713,adk,fragilis
29716,rpsB,fragilis
29717,rpoC,fragilis
29723,rsfS,fragilis
29739,rpsK,fragilis
29743,secA,fragilis
29746,tsf,fragilis
29748,rplO,fragilis
29752,rpsS,fragilis
29754,rplX,fragilis
29768,rpsL,fragilis
29769,rpsP,fragilis
29781,fusA,fragilis
29783,ftsZ,fragilis
29792,rplV,fragilis
29793,alaS,fragilis
29800,rpsM,fragilis
29803,rpsQ,fragilis
29805,prfA,fragilis
29819,tuf,fragilis
29821,rpsF,fragilis
29829,gpmI,fragilis
29830,rplC,fragilis
29874,typA,fragilis
29875,thiC,fragilis
29880,rplB,fragilis
29889,pckA,fragilis
29895,mdh,fragilis
29909,rplL,fragilis
29920,rny,fragilis
29927,folD,fragilis
29929,gcvP,fragilis
29937,rplQ,fragilis
29955,ileS,fragilis
29965,rplR,fragilis
29966,rpsC,fragilis
29971,rplK,fragilis
29993,ribH,fragilis
29995,rplP,fragilis
30000,rpsG,fragilis
30007,pyrG,fragilis
30025,rplE,fragilis
30033,rpsI,fragilis
30042,greA,fragilis
30045,efp,fragilis
30046,rpoB,fragilis
30049,metK,fragilis
30050,purD,fragilis
30074,ispG,fragilis
30084,purL,fragilis
30094,serC,fragilis
30103,gltX,fragilis
30109,pepT,fragilis
30124,gyrA,fragilis
30126,tpiA,fragilis
30154,rpmI,fragilis
30171,rpmG,fragilis
30178,valS,fragilis
30180,prs,fragilis
30195,serS,fragilis
30199,asd,fragilis
30212,rplD,fragilis
30233,ALB,fragilis
30234,gyrB,fragilis
30237,rpsR,fragilis
30258,ettA,fragilis
30284,rnr,fragilis
30287,proS,fragilis
30294,rpmA,fragilis
30295,rplA,fragilis
30302,rplT,fragilis
30309,infB,fragilis
30319,rpmC,fragilis
30323,rpsD,fragilis
30348,fabH,fragilis
30354,aspS,fragilis
30367,ilvD,fragilis
30368,rplJ,fragilis
30387,glyA,fragilis
30404,gcvT,fragilis
30411,rpsO,fragilis
30429,rplM,fragilis
30433,nusA,fragilis
30440,guaA,fragilis
30460,clpB,fragilis
30461,guaB,fragilis
30462,topA,fragilis
30465,rpmD,fragilis
30488,thrS,fragilis
30514,ftsY,fragilis
30533,argH,fragilis
30540,metG,fragilis
30542,rplU,fragilis
30554,ychF,fragilis
30555,argS,fragilis
30559,purH,fragilis
30619,rplN,fragilis
30623,tyrS,fragilis
30628,trpS,fragilis
30645,rplS,fragilis
30681,pheS,fragilis
30704,leuS,fragilis
30706,rplF,fragilis
30707,gcvH,fragilis
30736,ftsH,fragilis
30746,frr,fragilis
30754,glyS,fragilis
30764,rpoA,fragilis
30818,ackA,fragilis
30887,cysK,fragilis
30890,rplY,fragilis
30932,clpX,fragilis
30933,ffh,fragilis
30959,htpG,fragilis
30986,pheT,fragilis
31022,glnA,fragilis
31095,infA,fragilis
31122,hisS,fragilis
31147,aroC,fragilis
31174,atpA,fragilis
31228,fhs,fragilis
31259,eno,fragilis
31296,infC,fragilis
31316,pyrE,fragilis
31433,rpsH,fragilis
31450,rpsJ,fragilis
31456,pgk,fragilis
31497,purC,fragilis
31569,rpsT,fragilis
31573,purA,fragilis
31619,rpsE,fragilis
31632,rplI,fragilis
31829,ftsA,fragilis
31842,tal,fragilis
31943,pyrH,fragilis
31988,nadE,fragilis
32064,dxr,fragilis
32417,acpP,fragilis
32464,sufC,fragilis
32492,leuB,fragilis
32499,polA,fragilis
32534,nusG,fragilis
32543,purM,fragilis
32550,atpD,fragilis
32618,zwf,fragilis
32629,murF,fragilis
32667,murE,fragilis
32702,obg,fragilis
33048,pyrF,fragilis
33074,thrC,fragilis
33483,menB,fragilis
33590,rpe,fragilis
33839,lepA,fragilis
33908,sucD,fragilis
34102,rpsN,fragilis
34579,pyrB,fragilis
35161,mreB,fragilis
35364,panB,fragilis
35521,cysS,fragilis
36515,argC,fragilis
36928,grpE,fragilis
37130,def,fragilis
37142,rplW,fragilis
39067,clpP,fragilis
40582,atpG,fragilis
40913,carA,fragilis
41234,atpF,fragilis
41274,recA,fragilis
41465,der,fragilis
42017,kbl,fragilis
42507,folE,fragilis
42688,prfB,fragilis
43416,sucC,fragilis
44360,hutU,fragilis
46217,argG,fragilis
53884,dnaX,fragilis
55230,murC,fragilis
55678,mutS,fragilis
57108,argB,fragilis
57259,rimO,fragilis
57659,hisD,fragilis
58749,leuC,fragilis
59879,trpB,fragilis
60416,gatB,gilvus
60422,rpsB,gilvus
60423,tatA,gilvus
60428,rplK,gilvus
60430,rpsC,gilvus
60443,rplC,gilvus
60446,groL,gilvus
60447,rpsD,gilvus
60453,leuS,gilvus
60455,rpsS,gilvus
60459,gltX,gilvus
60462,rpsT,gilvus
60468,pdxS,gilvus
60472,rplO,gilvus
60474,rplE,gilvus
60475,metK,gilvus
60479,rplM,gilvus
60484,prfB,gilvus
60490,tsf,gilvus
60491,ettA,gilvus
60499,rpsJ,gilvus
60501,rpoB,gilvus
60503,rplL,gilvus
60505,tuf,gilvus
60506,greA,gilvus
60508,grpE,gilvus
60511,rplD,gilvus
60513,atpA,gilvus
60528,rpsI,gilvus
60530,sucD,gilvus
60549,pyrH,gilvus
60551,fusA,gilvus
60552,rpsP,gilvus
60554,gcvP,gilvus
60555,dapA,gilvus
60557,rpsK,gilvus
60566,tig,gilvus
60586,purA,gilvus
60592,rho,gilvus
60598,ppa,gilvus
60616,tpiA,gilvus
60624,proS,gilvus
60628,rpoA,gilvus
60637,ackA,gilvus
60638,rpoC,gilvus
60647,rplV,gilvus
60652,gyrA,gilvus
60654,atpD,gilvus
60662,rplT,gilvus
60665,rplA,gilvus
60666,rpsE,gilvus
60670,rpmD,gilvus
60675,dnaK,gilvus
60679,rplQ,gilvus
60682,sucC,gilvus
60695,rpsR,gilvus
60708,rplJ,gilvus
60710,pnp,gilvus
60717,glpK,gilvus
60723,ffh,gilvus
60743,rpsG,gilvus
60756,pgk,gilvus
60806,rpsH,gilvus
60809,rplX,gilvus
60812,topA,gilvus
60817,eno,gilvus
60818,nusA,gilvus
60855,rpmF,gilvus
60857,rplB,gilvus
60861,ilvC,gilvus
60864,groS,gilvus
60874,ychF,gilvus
60876,frr,gilvus
60879,hemL,gilvus
60889,lysS,gilvus
60895,prs,gilvus
60899,rplF,gilvus
60917,adk,gilvus
60929,der,gilvus
60935,rpsF,gilvus
60967,fumC,gilvus
60979,rpsM,gilvus
60992,acpP,gilvus
61014,rplP,gilvus
61017,rpsO,gilvus
61055,glmS,gilvus
61059,gcvT,gilvus
61107,rpmC,gilvus
61123,dxr,gilvus
61148,ftsZ,gilvus
61171,rpoZ,gilvus
61175,ispG,gilvus
61193,fabH,gilvus
61199,guaA,gilvus
61207,rpsQ,gilvus
61236,guaB,gilvus
61328,polA,gilvus
61350,thrS,gilvus
61358,rplR,gilvus
61372,glyA,gilvus
61384,rplU,gilvus
61410,valS,gilvus
61417,nusG,gilvus
61422,atpG,gilvus
61439,nuoD,gilvus
61464,infB,gilvus
61503,rsfS,gilvus
61515,secA,gilvus
61530,alaS,gilvus
61561,panB,gilvus
61672,ALB,gilvus
61689,tal,gilvus
61997,pgi,gilvus
62023,rplI,gilvus
62053,rplS,gilvus
62109,aspS,gilvus
62247,argS,gilvus
62409,argH,gilvus
62915,trpS,gilvus
62977,gyrB,gilvus
63029,nadE,gilvus
63247,purL,gilvus
63405,rpe,gilvus
63407,trpB,gilvus
63417,aroA,gilvus
63508,pheT,gilvus
63525,ileS,gilvus
63636,recA,gilvus
63804,cysK,gnavus
63805,tyrS,gnavus
63810,tsf,gnavus
63813,groL,gnavus
63814,rpsT,gnavus
63816,lysS,gnavus
63817,rplA,gnavus
63819,rplB,gnavus
63829,rplW,gnavus
63837,pnp,gnavus
63840,rpsS,gnavus
63841,rpsB,gnavus
63842,rpmC,gnavus
63845,rpsH,gnavus
63847,pckA,gnavus
63853,ftsY,gnavus
63854,rpsM,gnavus
63860,ackA,gnavus
63863,ftsZ,gnavus
63874,pgk,gnavus
63882,rpsQ,gnavus
63886,thrC,gnavus
63899,tuf,gnavus
63903,rplL,gnavus
63905,leuS,gnavus
63906,glyA,gnavus
63915,tpiA,gnavus
63923,rpsJ,gnavus
63929,prfA,gnavus
63951,alaS,gnavus
63958,tig,gnavus
63962,rpmI,gnavus
63965,rplQ,gnavus
63968,infC,gnavus
63979,rpsK,gnavus
63996,pfkA,gnavus
64015,rpsE,gnavus
64024,rplC,gnavus
64036,rplS,gnavus
64061,purA,gnavus
64084,rpmD,gnavus
64086,ALB,gnavus
64088,dnaK,gnavus
64098,gap,gnavus
64102,carB,gnavus
64114,metK,gnavus
64115,rplE,gnavus
64122,serS,gnavus
64151,glyS,gnavus
64160,rpsO,gnavus
64161,fusA,gnavus
64177,rplU,gnavus
64182,rpmF,gnavus
64191,rpoB,gnavus
64209,typA,gnavus
64213,nadE,gnavus
64229,infB,gnavus
64230,ileS,gnavus
64234,gpmI,gnavus
64250,rpsD,gnavus
64272,glmM,gnavus
64276,rpsP,gnavus
64298,rpoC,gnavus
64302,rnr,gnavus
64303,guaB,gnavus
64305,rpsN,gnavus
64312,lepA,gnavus
64313,rplO,gnavus
64325,rplJ,gnavus
64334,rpsF,gnavus
64340,aspS,gnavus
64365,prs,gnavus
64402,rpsR,gnavus
64428,glmS,gnavus
64433,rpsG,gnavus
64435,ffh,gnavus
64453,proS,gnavus
64482,pyrH,gnavus
64486,pyrE,gnavus
64487,ilvC,gnavus
64489,rplD,gnavus
64491,prfB,gnavus
64495,rplN,gnavus
64500,rplX,gnavus
64509,rpoZ,gnavus
64521,adk,gnavus
64563,pheT,gnavus
64577,trpS,gnavus
64578,rny,gnavus
64579,atpD,gnavus
64593,ychF,gnavus
64605,rplV,gnavus
64619,aroA,gnavus
64657,fhs,gnavus
64666,secA,gnavus
64690,pdxS,gnavus
64694,upp,gnavus
64711,ddl,gnavus
64715,greA,gnavus
64740,thrS,gnavus
64751,pgi,gnavus
64756,metG,gnavus
64761,rplM,gnavus
64770,rpsL,gnavus
64777,rplK,gnavus
64796,rplP,gnavus
64810,groS,gnavus
64813,tal,gnavus
64817,rpsC,gnavus
64819,serC,gnavus
64820,glnA,gnavus
